,categories,categoriescountsemicolon
108122,education;games;weapons,2
110812,alcoholandtobacco;education;travel,2
111086,socialnetworking;streamingmedia;travel,2
111804,informationtech;weapons,1
112694,entertainment;health,1
113065,shopping;socialnetworking;streamingmedia,2
113295,blogsandpersonal;drugs,1
113684,travel;vehicles,1
114385,adult;virtualreality,1
114754,illegalcontent;mediasharing;searchenginesandportals,2
116271,business;searchenginesandportals;shopping,2
117192,blogsandpersonal;socialnetworking,1
117299,blogsandpersonal;entertainment;religion,2
117777,education;newsandmedia;streamingmedia,2
117862,chatandmessaging;socialnetworking,1
118050,business;education;streamingmedia;travel,3
119501,adult;education;messageboardsandforums,2
119774,business;education;weapons,2
120638,blogsandpersonal;education;foodandrecipes,2
122404,education;travel;vehicles,2
122527,games;informationtech;mediasharing,2
122581,business;entertainment;virtualreality,2
122584,newsandmedia;virtualreality,1
124633,business;drugs,1
125368,business;messageboardsandforums;weapons,2
126149,adult;business;education,2
129514,education;informationtech;streamingmedia,2
,a%' OR '%e%' OR '%i%' OR '%o%' OR '%U,-1
